,D-Stat,Boot Mean,StdDev,Z-Score,ABBAA,BABAA,nloci
0,0.26147541,0.261771228,0.04646609,5.627230685,192.375,112.625,8639
1,0.258232236,0.259059454,0.05264606,4.905062867,181.5,107,8439
2,0.25862069,0.253120689,0.055108811,4.692910002,182.5,107.5,8340
3,0.241395135,0.24084319,0.047753786,5.054994725,169.0625,103.3125,7458
4,0.251396648,0.250757904,0.044984591,5.588505842,196,117.25,8538
5,0.296437915,0.295683647,0.046576226,6.364575668,201.3125,109.25,8562
,,,,,,,
,,,,,,,
,,,,,,,
,P1,P2,P3(1),P3(2),O,Signif,
,33413_thamno,30556_thamno,"38362_rax, 38618_rax","40578_rax, 35855_rax",przewalskii,"D1, D2, D12",
,33413_thamno,30556_thamno,38362_rax,38618_rax,przewalskii,D12,
,33413_thamno,30556_thamno,40578_rax,35855_rax,przewalskii,D12,
,,,,,,,
,,,,,,,
